IsIPA,OG,FG,ABV,IBU,Color,BoilTime,BoilGravity,PitchRate,Efficiency,UserId
FALSE,1.107,1.034,9.59,43.56,50,60,1.068,,73,
TRUE,1.086,1.02,8.68,126.15,9.87,60,,,80,
TRUE,1.053,1.01,5.68,42.73,9.86,60,1.098,,70,
FALSE,1.055,1.01,5.84,33.67,5.76,60,1.042,,65,
TRUE,1.06021982378048,1.01431341679707,6.02,67.43,5.17,60,1.04003130565933,0.75,65,
TRUE,1.06,1.01,6.55,129.92,6.94,90,1.068,0.75,75,61572
FALSE,1.057,1.016,5.42,60.98,9.27,60,,,75,
FALSE,1.07,1.013,7.41,40.6,14.77,90,1.051,0.35,75,
TRUE,1.063,1.018,5.93,44.85,18.65,60,1.045,,70,
TRUE,1.05,1.009,5.36,40.29,5.84,60,1.037,1,72,
FALSE,1.06,1.01,6.55,10.19,6.16,60,1.057,,80,
FALSE,1.056,1.013,5.66,24.2,37.17,60,1.041,,70,65316
FALSE,1.09360980283973,1.01871366620612,9.83,66.49,7.66,60,1.10381365281628,,85,45757
FALSE,1.07,1.015,7.5,89.15,18.67,60,1.051,0.35,70,30457
FALSE,1.048,1.011,4.8,82.93,7.98,75,1.036,,66,
FALSE,1.047,1.015,4.26,34.14,4.21,60,1.035,0.35,84,23950
FALSE,1.065,1.01,7.23,52.25,7.67,60,1.102,,85,
TRUE,1.101,1.031,9.26,36.24,16.19,90,1.093,,70,81111
FALSE,1.048,1.012,4.76,27.28,6.68,60,1.042,,68,
FALSE,1.062,1.015,6.17,49.65,22.01,60,1.052,,75,
FALSE,1.055,1.011,5.75,25.3,10.06,60,1.043,,65,
TRUE,1.051,1.012,5.09,65.44,10.05,60,1.037,0.75,68,43545
TRUE,1.041,1.008,4.4,69.66,3.33,60,1.039,,82,
FALSE,1.05623933000139,1.00959082324258,6.12,38.05,5.45,70,1.05132770928375,0.35,70,
TRUE,1.062,1.015,6.14,51.61,5.24,60,1.048,,75,65812
TRUE,1.053,1.011,5.46,81.39,4.49,60,1.045,,70,42083
TRUE,1.058,1.011,6.15,48.89,4.81,60,1.039,,35,
FALSE,1.044,1.007,4.78,33.77,6.4,60,1.038,,70,
FALSE,1.049,1.011,4.93,18.11,10.91,60,1.04,1.5,70,96119
TRUE,1.079,1.01,9.03,261.93,13.57,75,1.05,,54,20450
FALSE,1.054,1.016,4.98,30.31,20.65,60,1.047,,59,
TRUE,1.058,1.01,6.25,68.42,7.54,60,1.058,,70,
FALSE,1.049,1.011,4.98,30.93,8.98,60,1.041,,35,49971
TRUE,1.058,1.012,6.03,76.42,7.07,90,1.045,,70,72382
TRUE,1.071,1.019,6.78,105.91,7.44,60,1.127,0.5,35,
FALSE,1.056,1.01,6.09,43.35,4.27,60,1.037,,70,
TRUE,1.062,1.011,6.68,60.05,11.26,60,1.046,,76,52311
FALSE,1.049,1.012,4.8,64.54,23.82,60,1.01,,35,
FALSE,1.055,1.017,5.02,41.87,15.9,60,1.047,,25,
TRUE,1.069,1.013,7.37,64.62,5.97,60,1.058,0.75,35,
FALSE,1.08,1.025,7.25,90.68,28.36,90,1.059,0.35,70,
FALSE,1.075,1.015,7.86,51.32,39.87,60,1.075,,60,44549
FALSE,1.077,1.018,7.63,56.92,23.82,90,1.055,0.5,75,
TRUE,1.086,1.027,7.76,74.84,10.43,60,1.074,1.25,35,
FALSE,1.059,1.013,6.09,27.53,5.25,60,1.052,,68,
FALSE,1.051,0.999,6.84,23.55,3.7,60,1.036,0.75,76,
FALSE,1.054,1.01,5.7,52.36,7.61,70,1.043,,70,
FALSE,1.05,1.014,4.73,13.97,3.81,60,1.04,0.75,60,
TRUE,1.044,1.01,4.49,61.59,6.62,50,1.033,,59,62310
FALSE,1.054,1.013,5.38,23.42,13.76,90,1.044,2,75,
TRUE,1.063,1.012,6.66,98.95,10.38,60,1.104,,75,81140
FALSE,1.048,1.009,5.15,28.36,5.13,60,1.067,,74,
FALSE,1.06,1.017,5.56,42.13,9.94,75,1.044,,70,46849
FALSE,1.057,1.014,5.56,23.73,16.79,90,1.044,,70,
TRUE,1.061,1.011,6.56,50.34,5.93,60,1.052,,73,145
FALSE,1.058,1.012,6.05,65.33,4.8,90,1.041,,80,
TRUE,1.06,1.013,6.12,90.25,11.13,60,1.044,,65,
TRUE,1.058,1.011,6.16,125.32,8.27,60,1.044,,72,
FALSE,1.058,1.013,5.83,46.94,39.06,90,1.044,,70,47553
FALSE,1.081,1.016,8.58,71.33,20.09,60,1.072,,75,
FALSE,1.062,1.014,6.29,40.87,6.68,60,,0.35,60,
FALSE,1.05,1.008,5.57,30.2,5.66,60,1.046,0.75,75,58529
FALSE,1.075,1.018,7.47,42.16,49.8,60,1.05,,59,
TRUE,1.077,1.03,6.21,63.45,5.18,60,1.066,1,80,
FALSE,1.06,1.011,6.5,32,5.12,60,1.165,,55,88637
FALSE,1.039,1.008,4.16,7.99,3.7,30,1.028,0.35,60,49703
FALSE,1.058,1.017,5.41,27.65,26.12,60,1.048,,75,
FALSE,1.096,1.027,8.98,49.47,50,90,1.082,,72,
TRUE,1.062,1.015,6.08,64.83,8.19,60,1.051,0.5,70,
FALSE,1.065,1.018,6.16,116.11,4.6,60,1.043,,70,55670
FALSE,1.055,1.009,6.03,37.61,11.99,60,1.049,,70,
FALSE,1.055,1.01,5.82,44,33.25,69,1.04,,70,
FALSE,1.051,1.012,5.2,0,7.71,60,1.042,,78,
TRUE,1.073,1.016,7.44,64.24,6.78,60,1.049,0.5,70,42769
FALSE,1.044,1.011,4.34,29.57,5.15,60,1.036,0.75,72,
TRUE,1.06,1.017,5.75,28.9,3.99,60,1.052,,70,
TRUE,1.072,1.014,7.68,96.22,8.05,75,1.056,,25,
FALSE,1.053,1.017,4.82,28.63,5.1,60,1.039,0.75,72,58965
TRUE,1.056,1.013,5.73,42.29,8.94,60,1.081,,35,
FALSE,1.054,1.013,5.42,35.03,4.27,60,1.045,0.75,70,
TRUE,1.052,1.009,5.58,50.56,10.67,60,1.043,,70,
FALSE,1.045,1.012,4.27,21.79,3.69,75,1.036,0.35,75,
FALSE,1.053,1.015,5.02,21.75,21.37,60,1.044,,75,
TRUE,1.074,1.021,7.02,66.86,7.98,60,1.063,0.5,65,15241
TRUE,1.044,1.008,4.66,115.21,3.98,60,1.036,,50,20024
TRUE,1.072,1.019,6.95,64.83,12.59,90,1.058,,75,
TRUE,1.061,1.019,5.57,74.7,38.61,60,1.084,0.5,40,110860
FALSE,1.06,1.015,5.87,23.45,38.75,60,1.099,,35,52397
FALSE,1.058,1.016,5.4,33.8,31.28,60,1.096,0.35,35,62144
TRUE,1.069,1.016,7,80.71,6.25,60,1.054,,70,
TRUE,1.067,1.014,7,39.24,5.83,60,1.044,,70,
FALSE,1.056,1.009,6.13,31.31,11.34,60,1.043,0.5,70,
FALSE,1.054,1.015,5.1,11.78,29.03,60,1.091,0.35,35,
FALSE,1.065,1.016,6.44,31.25,40,60,1.058,,68,
TRUE,1.071,1.016,7.17,74.62,10.15,60,1.048,,70,
FALSE,1.05,1.003,6.26,40.16,19.26,90,1.039,0.75,68,
TRUE,1.07412728520355,1.01345639593982,7.96,61.19,8.65,60,1.06500006412324,,77,35279
TRUE,1.061,1.012,6.44,50.95,11.08,90,1.05,,75,
FALSE,1.064,1.019,5.97,30.17,22.85,60,1.07,0.35,25,
FALSE,1.049,1.012,4.76,53.33,7.97,60,1.041,,68,103710
TRUE,1.06,1.01,6.5,48.87,26.21,90,1.066,,70,
FALSE,1.048,1.008,5.2,32.19,4.87,75,1.037,0.35,75,
FALSE,1.02,1.005,1.86,75.96,31.98,60,1.016,,35,
FALSE,1.069,1.017,6.73,67.81,10.72,60,1.054,0.75,75,
TRUE,1.044,1.008,4.7,29.69,8.07,60,1.036,0.35,70,16892
TRUE,1.051,1.009,5.53,41.25,10.25,90,1.035,0.35,67,88023
FALSE,1.07431817839914,1.02228550214693,7.27,39.87,7.7,60,1.0741448360888,,70,
FALSE,1.045,1.008,4.74,25.1,5.83,60,1.089,,35,
FALSE,1.06,1.011,6.39,43.9,10.28,60,1.046,,70,43078
TRUE,1.08,1.019,8.01,50.55,4.84,60,1.059,,75,
TRUE,1.055,1.013,5.48,67.93,10.17,60,1.055,,78,
FALSE,1.046,1.011,4.51,14.69,2.55,60,1.034,,70,
TRUE,1.064,1.015,6.44,99.68,17.26,60,1.058,,52.6,
FALSE,1.087,1.022,8.45,27.27,29.53,60,1.058,2,70,
TRUE,1.054,1.009,5.98,48.34,6.41,75,1.04,,64,52140
FALSE,1.102,1.032,9.18,113.83,50,60,1.083,0.75,70,
FALSE,1.061,1.014,6.07,32.05,6.6,60,1.049,0.35,75,
FALSE,1.046,1.009,4.85,42.41,6.26,60,1.038,,60,
FALSE,1.049,1.008,5.32,39.31,5.73,60,1.041,1.5,68,
FALSE,1.052,1.012,5.22,45.27,6.71,60,1.044,0.35,60,
TRUE,1.065,1.016,6.36,53.82,5.22,60,1.129,,60,53755
FALSE,1.073,1.02,6.96,74.38,49.54,60,1.053,,75,
FALSE,1.059,1.019,5.26,29.84,46.3,60,1.053,0.35,70,39689
FALSE,1.051,1.012,5.06,47.21,7.73,60,1.038,0.35,65,52952
FALSE,1.067,1.017,6.97,35.18,39.44,90,,,70,
FALSE,1.05,1.01,5.32,26.98,13.99,60,1.115,,35,
FALSE,1.091,1.023,8.95,93.66,50,60,1.077,0.35,35,
FALSE,1.04852999226049,1.00827463655366,5.28,40.2,7.46,60,1.04753822471078,,63,
TRUE,1.088,1.015,9.67,94.77,10.41,90,1.082,,70,
FALSE,1.08,1.018,8.2,246.46,11.6,60,1.069,1.25,52,
FALSE,1.038,1.008,4,0,3.3,60,,,70,
FALSE,1.061,1.015,5.96,24.12,21.27,80,1.052,,68,
FALSE,1.058,1.014,5.77,38.94,10.43,60,1.039,0.35,68,
FALSE,1.06,1.015,5.86,0,3.95,60,1.04,,70,
FALSE,1.06,1.016,5.78,56.08,33.08,60,1.05,0.5,77,
FALSE,1.051,1.014,4.82,33.44,7.98,60,1.097,0.35,35,22956
FALSE,1.048,1.012,4.68,40.5,3.8,90,1.041,,80,
TRUE,1.07,1.018,6.84,78.59,7.09,60,1.051,1.25,75,
TRUE,1.072,1.02,6.93,82.75,11.01,90,1.062,0.75,79,17762
TRUE,1.086,1.014,9.46,73.89,13.23,60,1.075,,60,57252
FALSE,1.053,1.01,5.62,33.87,3.84,90,1.038,0.75,75,
TRUE,1.056,1.008,6.32,49.71,11.32,90,1.025,,48,50433
FALSE,1.056,1.014,5.49,0,3.62,60,1.046,,68,
TRUE,1.074,1.02,7.02,67.01,9.66,60,1.054,,70,27393
TRUE,1.051,1.014,4.88,44.63,7.65,60,1.093,0.35,35,
FALSE,1.11,1.019,11.84,92.6,50,60,1.084,2,65,47156
FALSE,1.111,1.023,11.63,68.43,50,90,1.084,,72,45924
FALSE,1.086,1.02,8.62,19.16,20.31,60,1.069,0.75,70,
TRUE,1.067,1.014,6.88,68.41,6.93,60,1.044,0.75,70,
FALSE,1.048,1.01,4.99,37.33,3.15,30,1.044,,80,100117
FALSE,1.073,1.017,7.29,58.85,30.09,60,1.066,,70,2708
FALSE,1.063,1.016,6.11,33.47,6.55,90,1.054,0.75,80,40469
FALSE,1.066,1.019,6.53,54.11,7.39,60,1.057,0.35,78,52990
TRUE,1.071,1.017,7.09,78.78,5.98,60,1.054,1,75,
TRUE,1.099,1.024,9.95,104.15,45.81,90,1.083,,70,
TRUE,1.064,1.012,6.82,63.65,7.67,60,1.047,0.35,80,
TRUE,1.083,1.022,8.02,41.92,5.12,60,1.069,,70,
TRUE,1.063,1.014,6.34,54.2,7.48,60,1.046,0.35,65,85227
FALSE,1.045,1.009,4.78,31.01,10.15,60,1.086,,35,49121
FALSE,1.062,1.017,5.85,26.86,40,60,1.05,,60,
FALSE,1.07,1.016,6.98,39.95,12.24,60,1.055,,30,
FALSE,1.057,1.014,5.59,37.48,10.48,60,1.104,,35,
TRUE,1.058,1.01,6.28,51.78,7.88,60,1.043,0.75,72,56251
FALSE,1.052,1.013,5.04,17.74,4.03,60,1.048,,70,
FALSE,1.045,1.011,4.54,38.45,3.03,60,1.038,0.75,80,29934
TRUE,1.101,1.02,10.58,132.41,8.99,60,1.067,,70,40395
FALSE,1.069,1.024,5.9,25.97,32.24,60,1.099,,35,
TRUE,1.054,1.009,5.94,56.19,6.09,75,1.051,1,70,
FALSE,1.041,1.01,4.05,36.78,4.94,90,1.03,,35,97219
FALSE,1.045,1.012,4.3,53.28,40,60,1.071,0.75,70,20681
TRUE,1.065,1.014,6.77,78.69,9.04,60,1.055,0.35,70,54924
FALSE,1.031,1.007,3.13,88.75,23.56,60,1.023,1.25,35,
FALSE,1.1,1.014,11.25,58.59,33.88,60,1.199,0.75,35,93056
FALSE,1.112,1.039,9.55,57.93,40,60,,,70,
FALSE,1.057,1.02,4.98,37.96,40,60,1.038,0.75,70,18410
FALSE,1.048,1.012,4.68,0,21.75,60,,,75,
FALSE,1.055,1.01,5.95,66.83,4.47,60,1.04,1.25,60,56185
FALSE,1.049,1.011,4.94,20.83,3.53,120,1.038,,68,47420
FALSE,1.053,1.016,4.87,8.91,5.89,60,1.057,,35,41977
FALSE,1.05,1.011,5.06,25.71,4.81,60,1.035,1,75,35074
TRUE,1.081,1.02,7.98,78.8,7.44,60,1.065,0.75,65,47791
FALSE,1.09,1.022,8.91,33.4,35.9,60,1.082,,80,
TRUE,1.056,1.014,5.48,46.47,9.11,60,1.037,,70,
FALSE,1.069,1.017,6.83,20.53,7.33,60,1.127,1,35,
FALSE,1.073,1.016,7.54,25.16,5.73,60,1.091,,75,
FALSE,1.054,1.012,5.51,48.17,4.25,90,1.045,,69,92576
FALSE,1.059,1.019,5.24,41.09,37.77,60,1.045,0.75,73,
TRUE,1.062,1.013,6.48,0,4.17,60,1.049,0.5,70,
TRUE,1.091,1.015,10.01,129.85,7.89,90,1.084,,75,
TRUE,1.031,1.006,3.28,31.65,20.63,60,1.023,0.35,50,
FALSE,1.056,1.012,5.79,43.3,7.64,60,1.044,,68,
TRUE,1.083,1.025,7.69,69.15,6.07,60,1.059,1,80,
FALSE,1.047,1.009,5.08,19.86,10.86,60,1.035,0.75,85,
TRUE,1.08,1.016,8.48,179.9,5.89,90,1.065,1,75,29729
FALSE,1.061,1.014,6.08,26.94,35.81,60,1.043,0.35,83,
FALSE,1.052,1.016,4.77,22.4,3.32,60,1.046,0.75,70,
FALSE,1.051,1.012,5.3,37.9,8.92,60,1.042,1,73,43553
TRUE,1.059,1.015,5.81,62.92,10.98,60,1.108,,45,
FALSE,1.057,1.015,5.49,35.24,32.63,60,1.069,0.75,35,
FALSE,1.053,1.009,5.7,18.2,38.06,60,1.065,0.75,70,
FALSE,1.051,1.013,5,16.38,5.34,60,1.042,,60,42873
FALSE,1.049,1.012,4.83,58.37,12.01,60,1.054,,35,
FALSE,1.057,1.011,6.05,35.39,21.79,60,1.046,,69,
TRUE,1.069,1.015,7.1,70.32,7.86,60,1.055,,70,63131
FALSE,1.05,1.013,4.77,21.6,16.46,60,1.037,0.35,75,
TRUE,1.07,1.021,6.5,124.22,5.67,60,,,35,
FALSE,1.041,1.01,4.09,35.31,17.51,60,1.03,,50,
FALSE,1.054,1.014,5.24,35.89,34.23,60,1.04,0.35,70,
TRUE,1.066,1.008,7.55,71.55,9.78,60,1.054,,60,
FALSE,1.064,1.014,6.54,23.35,16.11,60,1.059,0.35,70,53740
TRUE,1.068,1.016,6.81,91.19,10.55,60,1.048,0.5,70,
TRUE,1.069,1.016,6.88,68.94,4.87,60,1.061,1,70,
FALSE,1.05,1.014,4.83,31.13,34.59,75,1.039,,70,18665
FALSE,1.053,1.012,5.37,25.91,24.79,60,,,25,1051
TRUE,1.084,1.021,8.22,105.4,9.3,60,,,70,
TRUE,1.07,1.016,7.05,55.36,7.33,10,1.07,,75,
TRUE,1.06,1.012,6.31,63.17,6,60,1.053,0.75,68,
FALSE,1.057,1.015,5.42,36.04,38.12,60,1.057,,75,23931
TRUE,1.053,1.015,5.04,117.85,5.86,60,1.051,,70,348
FALSE,1.087,1.022,8.55,0,50,60,1.072,,70,
FALSE,1.058,1.016,5.52,43.35,10.03,60,1.042,,70,
FALSE,1.053,1.016,4.86,33.43,29.51,60,1.048,,78,
TRUE,1.083,1.019,8.32,145.05,8.96,60,1.07,1.25,60,
TRUE,1.06,1.011,6.38,104.43,5.25,60,1.047,,84,
FALSE,1.045,1.011,4.43,0,7.4,60,1.035,,70,
FALSE,1.052,1.015,4.84,0,42.28,60,1.037,0.35,85,
TRUE,1.059,1.016,5.68,48.34,4.75,60,1.049,0,55,
TRUE,1.081,1.024,7.4,100.85,8.86,60,1.064,,67,
FALSE,1.052,1.009,5.65,43.79,6.51,65,1.04,0.35,75,52825
FALSE,1.051,1.005,6.11,31.24,5.61,90,1.041,,70,
FALSE,1.064,1.005,7.7,36.09,7.85,60,1.05,,65,
FALSE,1.079,1.018,7.97,67.33,18.1,90,1.063,1.25,75,56565
FALSE,1.045,1.008,4.82,27.67,4.62,90,1.039,,70,
TRUE,1.14,1.035,13.74,0,24.97,60,,,75,
FALSE,1.062,1.016,6.1,73.06,9.69,60,1.052,,75,
FALSE,1.046,1.012,4.48,24.19,24.71,60,1.038,0.75,70,96119
TRUE,1.058,1.013,5.89,61.72,5.94,60,1.049,,58,
FALSE,1.053,1.013,5.17,24.33,4.32,60,1.045,,75,
FALSE,1.06,1.016,5.72,23.37,13.83,60,1.044,0.5,60,28452
FALSE,1.06,1.018,5.5,29.6,39.99,60,1.052,1,68,115074
TRUE,1.046,1.011,4.49,44.97,5.05,60,1.033,,35,14815
FALSE,1.051,1.013,4.98,31.13,19.33,60,,,70,14491
FALSE,1.054,1.01,5.69,42.13,12.89,60,1.048,,70,
TRUE,1.056,1.014,5.65,54.11,4.5,30,1.051,,77,88740
TRUE,1.063,1.016,6.19,150.04,3.59,60,1.047,,85,
FALSE,1.057,1.013,5.75,42.23,6.72,60,1.032,0.75,70,32278
FALSE,1.04545300012609,1.00862373544005,4.83,57.71,6.11,60,1.03631341598985,,63,
FALSE,1.059,1.013,6.07,30.2,5.41,60,1.054,1,75,43653
FALSE,1.091,1.015,10.04,41.9,5.38,90,1.082,1.25,80,
FALSE,1.066,1.015,6.76,38.35,11.35,80,1.059,0.75,80,
FALSE,1.048,1.011,4.84,35.22,6.5,60,1.029,,80,
FALSE,1.098,1.023,9.9,45.84,41.86,60,1.069,,70,
FALSE,1.043,1.011,4.24,20.03,14.88,60,1.043,,60,
FALSE,1.064,1.015,6.44,25.72,20.15,60,1.045,0.5,75,13335
TRUE,1.061,1.011,6.47,35.74,4.14,85,1.051,,68,32606
FALSE,1.063,1.018,5.91,51.87,9.57,60,1.059,0.5,75,
FALSE,1.056,1.013,5.69,59.32,6.7,60,1.036,0.75,54,45002
FALSE,1.046,1.013,4.37,69.98,28.69,60,1.093,,35,
FALSE,1.076,1.023,6.95,69.7,16.79,60,1.06,,65,
FALSE,1.052,1.01,5.46,33.17,16.82,120,1.032,0.75,55,
FALSE,1.052,1.014,5.06,47.57,28.69,60,1.044,,75,
TRUE,1.059,1.014,5.85,55.51,11.17,60,1.045,0.5,70,32071
TRUE,1.077,1.018,7.77,120.91,24.16,60,1.046,0.35,56,
FALSE,1.055,1.014,5.48,28.19,4.31,90,1.047,,60,
TRUE,1.11,1.026,12.38,132.6,13.68,90,1.078,1,35,
TRUE,1.068,1.013,7.18,51.32,8.96,60,1.059,0.75,72,
FALSE,1.11,1.041,9.03,72.94,39.24,120,1.042,1,70,
TRUE,1.061,1.013,6.28,155.26,10.61,60,1.05,1.25,63,
FALSE,1.072,1.018,7.07,44.46,7.97,60,1.063,,80,
FALSE,1.05,1.009,5.36,34.63,3.54,60,1.038,0.35,70,42744
FALSE,1.087,1.021,8.63,84.82,50,60,1.071,,80,
FALSE,1.054,1.013,5.4,44.78,4.05,90,1.04,1.5,70,40683
FALSE,1.048,1.014,4.58,30.98,9.83,60,1.061,0.75,90,
TRUE,1.05,1.015,4.62,47.99,4.87,60,1.033,,70,34210
TRUE,1.069,1.013,7.31,106.09,16.62,70,1.115,,70,
FALSE,1.047,1.008,5.04,37.56,31.39,60,1.039,,65,
FALSE,1.053,1.015,4.99,35.44,9.32,60,1.049,,75,
TRUE,1.068,1.018,6.68,63.35,7.7,60,1.059,,65,
FALSE,1.057,1.01,6.2,32.9,28.47,60,1.049,0.5,70,18665
FALSE,1.042,1.014,3.75,0,3.13,60,1.031,0.75,70,
FALSE,1.052,1.01,5.52,39.45,7.96,60,1.038,1,72,
FALSE,1.049,1.012,4.83,14.18,3.96,70,1.043,,70,
FALSE,1.043,1.011,4.2,43.33,5.56,60,1.031,,74,
FALSE,1.055,1.012,5.7,25.96,13.63,90,1.045,,68,
FALSE,1.085,1.025,7.88,68.42,5.15,60,1.062,,70,40209
TRUE,1.059,1.012,6.14,49.16,11.5,60,1.049,,70,42902
FALSE,1.063,1.018,5.95,27.23,27.74,60,1.042,0.75,70,
TRUE,1.068,1.015,6.93,65.27,7.69,60,1.056,0.35,57,
FALSE,1.05,1.012,5.01,29.1,17.95,70,1.061,0.5,65,85314
FALSE,1.065,1.011,7.04,39.34,29.93,60,1.108,1.5,35,
TRUE,1.069,1.011,7.52,65.44,7.87,80,1.051,,75,
TRUE,1.088,1.021,8.8,105.44,10.6,60,1.067,,70,
TRUE,1.074,1.013,7.97,220.54,10.7,60,1.054,0.5,70,
FALSE,1.088,1.022,8.62,149.17,36.94,60,1.146,,50,
TRUE,1.046,1.011,4.59,47.96,3.78,75,1.046,0.35,75,
FALSE,1.043,1.008,4.5,38.13,4.98,60,1.034,0.35,71,48648
FALSE,1.05,1.01,5.23,16.07,4.34,90,1.035,0.75,70,
FALSE,1.055,1.015,5.24,0,38.89,60,,,65,
TRUE,1.123,1.031,11.97,50.78,50,90,1.101,0.35,75,
TRUE,1.058,1.011,6.17,50.51,6.16,60,1.053,,70,66346
FALSE,1.054,1.01,5.82,27.09,21.63,75,1.046,0.75,70,79024
FALSE,1.058,1.019,5.17,52.83,3.57,60,1.042,1.5,70,40683
TRUE,1.081,1.02,7.95,57.24,5.48,60,1.065,,72,
FALSE,1.059,1.011,6.32,32.31,10.01,60,1.045,1,65,81856
FALSE,1.044,1.007,4.78,27.54,15.83,60,1.037,0.5,70,
FALSE,1.055,1.013,5.51,33.51,30.35,60,1.075,,80,1919
TRUE,1.061,1.015,6.04,69.9,7.83,60,1.045,0.35,70,
TRUE,1.068,1.019,6.42,46.58,8.42,60,1.053,0.35,70,
FALSE,1.04761503681749,1.01039140801331,4.88,20.43,4.49,75,1.04044585952686,0.5,63,40028
FALSE,1.05,1.01,5.28,58.63,3.29,60,1.037,,80,
FALSE,1.06,1.014,5.94,77.29,5.36,60,1.04,0.5,57,
FALSE,1.08,1.023,7.5,60.99,50,60,1.095,0.35,35,
TRUE,1.056,1.014,5.49,52.86,6.89,60,1.042,,80,
FALSE,1.043,1.01,4.3,45.63,9.54,60,1.039,0.75,73,
TRUE,1.066,1.016,6.47,0,6.31,60,1.041,,68,
FALSE,1.059,1.015,5.81,28.95,21.66,60,1.098,0.35,35,62144
TRUE,1.071,1.012,7.71,97.18,38.79,60,1.087,,87,
FALSE,1.055,1.015,5.19,47.09,33.08,50,1.071,0.5,65,
FALSE,1.061,1.016,5.86,27.48,6.13,60,1.052,0.5,75,64511
FALSE,1.1,1.03,9.2,20.52,8.17,60,1.088,,70,
FALSE,1.228,1.055,22.71,95.58,50,120,1.114,,70,35519
FALSE,1.059,1.017,5.41,29.78,27.27,60,1.05,0.35,70,
FALSE,1.06,1.015,5.88,38.9,9.28,60,1.053,,72,
TRUE,1.071,1.019,6.84,142.59,13.63,75,1.037,0.75,50,51371
FALSE,1.053,1.012,5.4,36.83,6.71,60,1.042,0.75,74,55441
FALSE,1.056,1.011,5.89,61.91,6.43,75,1.04,,72,
FALSE,1.058,1.014,5.67,34.02,6.76,60,1.043,,68,
FALSE,1.068,1.023,5.94,44.89,40,60,1.05,0.75,75,5889
TRUE,1.087,1.021,8.73,239.69,50,90,1.058,2,70,65897
FALSE,1.065,1.018,6.15,48.37,44.48,80,1.055,0.75,65,
FALSE,1.046,1.008,5.04,47.09,5.26,90,1.039,1.5,70,
TRUE,1.065,1.014,6.65,27.29,4.17,60,1.051,,74,42902
TRUE,1.097,1.02,10.14,72.79,13.14,60,1.071,,70,
FALSE,1.056,1.017,5.2,43.28,50,60,1.045,0.35,70,
TRUE,1.05,1.014,4.71,64.73,5.37,60,1.041,,67,46204
FALSE,1.044,1.012,4.23,40.81,45.16,60,1.071,0.35,55,
FALSE,1.045,1.01,4.6,27.72,4.73,60,1.038,0.75,70,17196
TRUE,1.067,1.018,6.46,104.23,4.29,60,1.049,,80,
FALSE,1.058,1.016,5.51,23.12,7.01,60,1.051,0.75,70,49368
FALSE,1.061,1.014,6.15,49.4,40,60,1.053,,75,35156
FALSE,1.055,1.014,5.4,42.3,3.71,60,1.037,0.75,70,31917
TRUE,1.082,1.016,8.7,100.32,6.13,60,1.136,,35,
TRUE,1.075,1.019,7.38,60.02,7.53,60,1.058,,80,
FALSE,1.056,1.009,6.09,28.23,7.67,60,1.051,0.5,65,
FALSE,1.094,1.02,9.68,58.34,37.55,90,1.078,1,76,
TRUE,1.06,1.011,6.42,44.06,6.9,60,1.051,,75,1046
TRUE,1.06,1.011,6.4,63.08,10.77,90,1.04,0.5,58,
FALSE,1.052,1.01,5.49,16.86,5.23,60,1.052,0.35,50,
